treatment,date,stage,subject,picturechoice1,picturechoice2,picturechoice3,picturechoice4,picturechoice5,mytype,r1s1_giveA,r2s1_giveA,r3s1_giveA,r4s1_giveA,r5s1_giveA,r1s1_giveB,r2s1_giveB,r3s1_giveB,r4s1_giveB,r5s1_giveB,r1s2_giveA,r2s2_giveA,r3s2_giveA,r4s2_giveA,r5s2_giveA,r1s2_giveB,r2s2_giveB,r3s2_giveB,r4s2_giveB,r5s2_giveB,r1s3_giveA,r2s3_giveA,r3s3_giveA,r4s3_giveA,r5s3_giveA,r1s3_giveB,r2s3_giveB,r3s3_giveB,r4s3_giveB,r5s3_giveB,round,myrole,actforsame,actforother,mypayoff,opponentid,opponenttype,sametype,opponentrole,game,payoffA_Aout,payoffB_Aout,payoffA_Bact1,payoffB_Bact1,payoffA_Bact2,payoffB_Bact2,paintingawards,stage2_payoff,myrole(A/B),choice,subjectID
control,050722O6,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,1.0,,550.0,11.0,,,2.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,A,A1,050722O6-14
control,050722O6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,750.0,5.0,,,1.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,B,B1,050722O6-1
control,050722O6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,750.0,3.0,,,2.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,A,A1,050722O6-2
control,050722O6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,750.0,2.0,,,1.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,B,B1,050722O6-3
control,050722O6,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,750.0,13.0,,,1.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,B,B1,050722O6-4
control,050722O6,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,750.0,1.0,,,2.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,A,A1,050722O6-5
control,050722O6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,2.0,,750.0,10.0,,,1.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,B,B2,050722O6-6
control,050722O6,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,750.0,11.0,,,2.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,A,A1,050722O6-7
control,050722O6,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,750.0,12.0,,,1.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,B,B1,050722O6-8
control,050722O6,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,750.0,14.0,,,2.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,A,A1,050722O6-9
control,050722O6,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,750.0,6.0,,,2.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,A,A1,050722O6-10
control,050722O6,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,750.0,7.0,,,1.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,B,B1,050722O6-11
control,050722O6,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,750.0,8.0,,,2.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,A,A1,050722O6-12
control,050722O6,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,750.0,4.0,,,2.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,A,A1,050722O6-13
control,050722O6,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,750.0,9.0,,,1.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,B,B1,050722O6-14
control,050722O6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2,1.0,,750.0,9.0,,,1.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,B,B1,050722O6-1
control,050722O6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2,1.0,,750.0,14.0,,,1.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,B,B1,050722O6-2
control,050722O6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2,1.0,,750.0,13.0,,,1.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,B,B1,050722O6-3
control,050722O6,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1,1.0,,750.0,6.0,,,2.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,A,A1,050722O6-4
control,050722O6,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2,2.0,,750.0,7.0,,,1.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,B,B2,050722O6-5
control,050722O6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2,2.0,,750.0,4.0,,,1.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,B,B2,050722O6-6
control,050722O6,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1,1.0,,750.0,5.0,,,2.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,A,A1,050722O6-7
control,050722O6,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2,1.0,,200.0,11.0,,,1.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,B,B1,050722O6-8
control,050722O6,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1,1.0,,750.0,1.0,,,2.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,A,A1,050722O6-9
control,050722O6,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1,1.0,,750.0,12.0,,,2.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,A,A1,050722O6-10
control,050722O6,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1,2.0,,800.0,8.0,,,2.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,A,A2,050722O6-11
control,050722O6,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2,1.0,,750.0,10.0,,,1.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,B,B1,050722O6-12
control,050722O6,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1,1.0,,750.0,3.0,,,2.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,A,A1,050722O6-13
control,050722O6,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1,1.0,,750.0,2.0,,,2.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,A,A1,050722O6-14
control,050722O6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,1.0,,200.0,11.0,,,1.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,B,B1,050722O6-1
control,050722O6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1,1.0,,750.0,9.0,,,2.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,A,A1,050722O6-2
control,050722O6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,1.0,,750.0,4.0,,,1.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,B,B1,050722O6-3
control,050722O6,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1,1.0,,750.0,3.0,,,2.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,A,A1,050722O6-4
control,050722O6,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,1.0,,750.0,14.0,,,1.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,B,B1,050722O6-5
control,050722O6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,1.0,,750.0,8.0,,,1.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,B,B1,050722O6-6
control,050722O6,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,2.0,,750.0,12.0,,,1.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,B,B2,050722O6-7
control,050722O6,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1,1.0,,750.0,6.0,,,2.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,A,A1,050722O6-8
control,050722O6,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,1.0,,750.0,2.0,,,1.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,B,B1,050722O6-9
control,050722O6,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,1.0,,750.0,13.0,,,1.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,B,B1,050722O6-10
control,050722O6,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1,2.0,,800.0,1.0,,,2.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,A,A2,050722O6-11
control,050722O6,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1,1.0,,750.0,7.0,,,2.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,A,A1,050722O6-12
control,050722O6,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1,1.0,,750.0,10.0,,,2.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,A,A1,050722O6-13
control,050722O6,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1,1.0,,750.0,5.0,,,2.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,A,A1,050722O6-14
control,050722O6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2,1.0,,750.0,10.0,,,1.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,B,B1,050722O6-1
control,050722O6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2,1.0,,750.0,7.0,,,1.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,B,B1,050722O6-2
control,050722O6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,2.0,,800.0,8.0,,,2.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,A,A2,050722O6-3
control,050722O6,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2,1.0,,750.0,5.0,,,1.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,B,B1,050722O6-4
control,050722O6,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,1.0,,750.0,4.0,,,2.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,A,A1,050722O6-5
control,050722O6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,1.0,,750.0,14.0,,,2.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,A,A1,050722O6-6
control,050722O6,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,1.0,,750.0,2.0,,,2.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,A,A1,050722O6-7
control,050722O6,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2,1.0,,200.0,3.0,,,1.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,B,B1,050722O6-8
control,050722O6,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,1.0,,750.0,12.0,,,2.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,A,A1,050722O6-9
control,050722O6,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,1.0,,750.0,1.0,,,2.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,A,A1,050722O6-10
control,050722O6,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,2.0,,800.0,13.0,,,2.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,A,A2,050722O6-11
control,050722O6,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2,1.0,,750.0,9.0,,,1.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,B,B1,050722O6-12
control,050722O6,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2,1.0,,200.0,11.0,,,1.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,B,B1,050722O6-13
control,050722O6,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2,1.0,,750.0,6.0,,,1.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,B,B1,050722O6-14
control,050801LR,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,2.0,,1000.0,3.0,,,1.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,B,B2,050801LR-1
control,050801LR,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,1.0,,1000.0,13.0,,,1.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,B,B1,050801LR-2
control,050801LR,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,1.0,,100.0,1.0,,,2.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,A,A1,050801LR-3
control,050801LR,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,2.0,,125.0,7.0,,,2.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,A,A2,050801LR-4
control,050801LR,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,1.0,,1000.0,14.0,,,1.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,B,B1,050801LR-5
control,050801LR,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,1.0,,100.0,8.0,,,2.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,A,A1,050801LR-6
control,050801LR,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,2.0,,125.0,4.0,,,1.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,B,B2,050801LR-7
control,050801LR,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,2.0,,1000.0,6.0,,,1.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,B,B2,050801LR-8
control,050801LR,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,2.0,,75.0,10.0,,,2.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,A,A2,050801LR-9
control,050801LR,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,1.0,,125.0,9.0,,,1.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,B,B1,050801LR-10
control,050801LR,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,1.0,,1000.0,16.0,,,1.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,B,B1,050801LR-11
control,050801LR,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,2.0,,125.0,15.0,,,2.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,A,A2,050801LR-12
control,050801LR,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,1.0,,100.0,2.0,,,2.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,A,A1,050801LR-13
control,050801LR,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,1.0,,100.0,5.0,,,2.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,A,A1,050801LR-14
control,050801LR,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,2.0,,125.0,12.0,,,1.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,B,B2,050801LR-15
control,050801LR,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,1.0,,100.0,11.0,,,2.0,Resp 6,100.0,1000.0,75.0,125.0,125.0,125.0,,,A,A1,050801LR-16
control,050801LR,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1.0,,725.0,15.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050801LR-1
control,050801LR,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,0.0,14.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050801LR-2
control,050801LR,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1.0,,725.0,11.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050801LR-3
control,050801LR,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,2.0,,400.0,12.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A2,050801LR-4
control,050801LR,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1.0,,725.0,6.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050801LR-5
control,050801LR,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,0.0,5.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050801LR-6
control,050801LR,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,0.0,10.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050801LR-7
control,050801LR,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1.0,,725.0,9.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050801LR-8
control,050801LR,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,0.0,8.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050801LR-9
control,050801LR,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1.0,,725.0,7.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050801LR-10
control,050801LR,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,0.0,3.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050801LR-11
control,050801LR,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,400.0,4.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050801LR-12
control,050801LR,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,2.0,,400.0,16.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A2,050801LR-13
control,050801LR,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1.0,,725.0,2.0,,,2.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050801LR-14
control,050801LR,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,0.0,1.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050801LR-15
control,050801LR,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,400.0,13.0,,,1.0,Resp 8,725.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050801LR-16
control,050801LR,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,450.0,4.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A1,050801LR-1
control,050801LR,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,450.0,6.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A1,050801LR-2
control,050801LR,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,450.0,13.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A1,050801LR-3
control,050801LR,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,900.0,1.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B2,050801LR-4
control,050801LR,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,400.0,9.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B2,050801LR-5
control,050801LR,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,900.0,2.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B2,050801LR-6
control,050801LR,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,900.0,8.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B2,050801LR-7
control,050801LR,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,450.0,7.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A1,050801LR-8
control,050801LR,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,2.0,,400.0,5.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A2,050801LR-9
control,050801LR,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,2.0,,400.0,12.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A2,050801LR-10
control,050801LR,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,450.0,15.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A1,050801LR-11
control,050801LR,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,400.0,10.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B2,050801LR-12
control,050801LR,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,900.0,3.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B2,050801LR-13
control,050801LR,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,1.0,,900.0,16.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B1,050801LR-14
control,050801LR,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,900.0,11.0,,,1.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,B,B2,050801LR-15
control,050801LR,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,450.0,14.0,,,2.0,Resp 7,450.0,900.0,200.0,400.0,400.0,400.0,,,A,A1,050801LR-16
control,050801LR,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,450.0,10.0,,,2.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,A,A1,050801LR-1
control,050801LR,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,0.0,9.0,,,1.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,B,B1,050801LR-2
control,050801LR,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,0.0,14.0,,,1.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,B,B1,050801LR-3
control,050801LR,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,450.0,11.0,,,1.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,B,B1,050801LR-4
control,050801LR,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,0.0,7.0,,,1.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,B,B1,050801LR-5
control,050801LR,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,0.0,16.0,,,1.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,B,B1,050801LR-6
control,050801LR,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,450.0,5.0,,,2.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,A,A1,050801LR-7
control,050801LR,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,450.0,12.0,,,2.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,A,A1,050801LR-8
control,050801LR,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,450.0,2.0,,,2.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,A,A1,050801LR-9
control,050801LR,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,2.0,,0.0,1.0,,,1.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,B,B2,050801LR-10
control,050801LR,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,2.0,,350.0,4.0,,,2.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,A,A2,050801LR-11
